system:index,Aridity_RichnessScaled,CECSOL_RichnessCutScaled,CHELSA_bio10_15_RichnessCutScaled,CHELSA_bio10_7_RichnessCutScaled,CLYPPT_RichnessCutScaled,ORCDRC_RichnessCutScaled,PETyr_RichnessScaled,PHIHOX_RichnessCutScaled,SLTPPT_RichnessCutScaled,Snow_newValues_WGS84,elevation_RichnessScaled,.geo
000000000000000007e3_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e4_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e5_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e6_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e7_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e8_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007e9_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ea_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007eb_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ec_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ed_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ee_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007ef_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f0_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f1_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f2_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f3_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
000000000000000007f4_0,-0.67860395,0.94218886,-0.28431872,-0.51814127,0.72414047,-0.80608475,1.378712,1.3063655,1.155421,0.0,-0.7274602,
